marca,modelo,mes_matriculacion,ano_matriculacion,kilometraje,distintivo_ambiental,garantia,precio_nuevo,precio_contado,concesionario,provincia,comunidad_autonoma,tipo_traccion,largo,ancho,alto,capacidad_maletero,num_plazas,num_puertas,batalla,peso,consumo_medio,consumo_carretera,consumo_urbano,co2,deposito,combustible,num_cilindros,cilindrada,sobrealimentacion,tipo_cambio,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion
MERCEDES-BENZ,CLASE A,1,2024,1926.0,0 EMISIONES,36.0,42521.00,40500.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1452.0,310.0,5.0,5.0,2729.0,2155.0,1.40,,,32.00,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,235.0,6.60
MERCEDES-BENZ,CLASE E,1,2024,3360.0,C,24.0,72218.00,66000.00,STERN MOTOR,Barcelona,Cataluña,trasera,4835.0,1860.0,1430.0,425.0,4.0,2.0,2873.0,2340.0,,,,,66.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,9.0,143.0,194.0,400.0,234.0,7.60
MERCEDES-BENZ,EQE,8,2023,3945.0,0 EMISIONES,36.0,73744.00,67300.00,STERN MOTOR,Barcelona,Cataluña,trasera,4946.0,1936.0,1510.0,430.0,5.0,4.0,3120.0,2895.0,,,,,,Eléctrico,,,,Automático,1.0,215.0,292.0,565.0,210.0,6.40
MERCEDES-BENZ,EQA,11,2023,6731.0,0 EMISIONES,36.0,59540.00,44800.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4463.0,1834.0,1624.0,340.0,5.0,5.0,2729.0,2535.0,,,,,,Eléctrico,,,,Automático,1.0,168.0,228.0,390.0,160.0,7.70
MERCEDES-BENZ,EQS SUV,5,2023,8339.0,0 EMISIONES,36.0,172580.00,123500.00,STERN MOTOR,Barcelona,Cataluña,total permanente,5125.0,1959.0,1718.0,645.0,5.0,5.0,3210.0,3375.0,,,,,,Eléctrico,,,,Automático,1.0,400.0,544.0,858.0,210.0,4.60
MERCEDES-BENZ,EQE,2,2023,2259.0,0 EMISIONES,24.0,104103.00,103500.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4946.0,1936.0,1495.0,430.0,5.0,4.0,3120.0,3095.0,,,,,,Eléctrico,,,,Automático,1.0,350.0,476.0,858.0,210.0,4.20
MERCEDES-BENZ,EQS,5,2023,2726.0,0 EMISIONES,24.0,159508.00,113000.00,STERN MOTOR,Barcelona,Cataluña,total permanente,5216.0,1926.0,1512.0,610.0,5.0,5.0,3210.0,3060.0,,,,,,Eléctrico,,,,Automático,1.0,385.0,523.0,858.0,210.0,4.30
MERCEDES-BENZ,CLASE SL,8,2024,5.0,ECO,36.0,226906.00,230800.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4705.0,1915.0,1354.0,213.0,2.0,2.0,2700.0,2320.0,,,,,70.00,Gasolina,8.0,3982.0,Turbo,Automático,9.0,430.0,584.0,800.0,315.0,3.60
MERCEDES-BENZ,CLASE CLA,6,2024,3715.0,C,36.0,45894.00,48000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4688.0,1830.0,1427.0,445.0,5.0,4.0,2729.0,2100.0,,,,,51.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,140.0,190.0,400.0,244.0,7.30
MERCEDES-BENZ,CLASE B,6,2024,4407.0,0 EMISIONES,36.0,49529.00,45000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1574.0,405.0,5.0,5.0,2729.0,2240.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,223.0,7.60
MERCEDES-BENZ,CLASE CLA,4,2024,4490.0,C,36.0,45564.00,48400.00,STERN MOTOR,Barcelona,Cataluña,delantera,4688.0,1830.0,1427.0,445.0,5.0,4.0,2729.0,2085.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,226.0,8.50
MERCEDES-BENZ,CLASE GLE,12,2023,28382.0,ECO,36.0,91189.00,88000.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4924.0,2010.0,1797.0,630.0,5.0,5.0,2995.0,2970.0,,,,,85.00,Diesel,4.0,1993.0,Turbo de geometría variable,Automático,9.0,198.0,269.0,550.0,230.0,6.90
MERCEDES-BENZ,CLASE GLA,12,2023,11134.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,CLASE GLA,12,2023,8006.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,CLASE GLA,12,2023,9980.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,CLASE C,8,2020,76771.0,ECO,24.0,45925.00,33600.00,STERN MOTOR,Barcelona,Cataluña,trasera,4686.0,1810.0,1442.0,435.0,5.0,4.0,2840.0,2085.0,5.90,4.10,7.60,135.00,66.00,Gasolina,4.0,1497.0,Turbo,Automático,9.0,135.0,184.0,280.0,239.0,7.70
MERCEDES-BENZ,CLASE A,5,2023,26295.0,0 EMISIONES,36.0,51704.00,39000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4558.0,1796.0,1458.0,345.0,5.0,4.0,2729.0,2180.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,230.0,7.50
MERCEDES-BENZ,CLASE CLA,9,2023,24590.0,C,36.0,47215.00,44000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4688.0,1830.0,1430.0,490.0,5.0,5.0,2729.0,2155.0,,,,,51.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,140.0,190.0,400.0,237.0,7.40
MERCEDES-BENZ,CLASE A,7,2023,17531.0,C,36.0,36940.00,35500.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1440.0,345.0,5.0,5.0,2729.0,1995.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,85.0,116.0,280.0,202.0,9.50
MERCEDES-BENZ,CLASE CLA,10,2020,93783.0,C,24.0,48417.00,34300.00,STERN MOTOR,Barcelona,Cataluña,delantera,4688.0,1830.0,1444.0,460.0,5.0,4.0,2729.0,2065.0,,,,,51.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,140.0,190.0,400.0,244.0,7.10
MERCEDES-BENZ,CLASE CLA,3,2024,5373.0,C,36.0,45564.00,44800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4688.0,1830.0,1427.0,445.0,5.0,4.0,2729.0,2085.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,226.0,8.50
MERCEDES-BENZ,CLASE C,4,2024,1803.0,ECO,36.0,54353.00,56700.00,STERN MOTOR,Barcelona,Cataluña,trasera,4751.0,1820.0,1437.0,,5.0,4.0,2865.0,2355.0,,,,,66.00,Diesel,4.0,1992.0,Turbo,Automático,9.0,147.0,200.0,440.0,245.0,7.30
MERCEDES-BENZ,CLASE E,4,2024,15.0,C,36.0,80440.00,72500.00,STERN MOTOR,Barcelona,Cataluña,trasera,4835.0,1860.0,1428.0,310.0,4.0,2.0,2873.0,2380.0,,,,,66.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,9.0,143.0,194.0,400.0,228.0,7.80
MERCEDES-BENZ,CLASE B,4,2024,8870.0,0 EMISIONES,36.0,49529.00,45000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1574.0,405.0,5.0,5.0,2729.0,2240.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,223.0,7.60
MASERATI,GHIBLI,4,2018,132000.0,C,12.0,117900.00,37950.00,COCHES AMB,Madrid,Madrid,trasera,4971.0,1945.0,1461.0,500.0,5.0,4.0,2998.0,2450.0,11.70,9.40,15.00,265.00,80.00,Gasolina,6.0,2979.0,Doble turbo,Automático,8.0,316.0,430.0,580.0,286.0,4.90
MERCEDES-BENZ,CLASE E,4,2024,5.0,ECO,36.0,67203.00,59500.00,STERN MOTOR,Barcelona,Cataluña,trasera,4949.0,1880.0,1469.0,615.0,5.0,5.0,2961.0,2602.0,,,,,66.00,Diesel,4.0,1993.0,Turbo,Automático,9.0,145.0,197.0,440.0,230.0,7.90
MERCEDES-BENZ,CITAN,8,2023,10139.0,C,24.0,27689.00,30000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4498.0,1919.0,1813.0,517.0,5.0,5.0,2716.0,2174.0,,,,,56.00,Diesel,4.0,1461.0,Turbo,Manual,6.0,70.0,95.0,260.0,164.0,15.50
MERCEDES-BENZ,CLASE GLA,12,2023,11144.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,EQB,2,2024,6111.0,0 EMISIONES,36.0,58502.00,47600.00,STERN MOTOR,Barcelona,Cataluña,delantera,4684.0,1834.0,1654.0,495.0,5.0,5.0,2829.0,2540.0,,,,,,Eléctrico,,,,Automático,1.0,140.0,190.0,385.0,160.0,8.90
MERCEDES-BENZ,CLASE A,6,2023,27538.0,C,36.0,43437.00,34800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4428.0,1796.0,1440.0,345.0,5.0,5.0,2729.0,2010.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,220.0,8.30
MERCEDES-BENZ,CLASE GLA,12,2023,10030.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,CLASE GLA,12,2023,8162.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,CLASE GLA,12,2023,8373.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
LAMBORGHINI,GALLARDO,4,2006,90771.0,C,,159744.00,84000.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4300.0,1900.0,1165.0,,2.0,2.0,2560.0,1680.0,19.50,13.70,29.10,,90.00,Gasolina,10.0,4961.0,,Manual,6.0,368.0,500.0,510.0,,4.20
