,id_provincia,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,id_carroceria,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo,id_tipo_cambio
37,3,10,16,4,72.0,31495.0,39275.0,4515.0,1865.0,1650.0,562.0,4,5.0,2.68,2.12,5,0.0,0.0,0.0,54.0,1,1.598,6.0,112.0,150.0,250.0,189.0,10.3,5,2024,,4.0,3,17,36,2
38,3,15850,16,2,36.0,19995.0,36330.0,4375.0,1805.0,1560.0,451.0,4,5.0,2.7,2.08,5,0.0,0.0,0.0,0.0,4,,1.0,100.0,136.0,395.0,155.0,9.8,10,2021,,,5,17,37,2
39,5,54584,6,4,12.0,13700.0,19300.0,3571.0,1627.0,1488.0,185.0,2,4.0,2.3,1.055,3,0.0,0.0,0.0,35.0,1,,6.0,52.0,70.0,92.0,167.0,13.8,6,2022,,3.0,3,18,38,2
40,3,58975,16,1,12.0,13995.0,21850.0,4525.0,1805.0,1610.0,536.0,6,5.0,2.75,2.0,5,6.5,5.4,8.3,58.0,1,1.591,6.0,100.0,135.0,168.0,185.0,11.3,7,2017,150.0,4.0,3,17,39,2
41,4,238547,17,5,11.0,2500.0,23665.0,4372.0,1825.0,1596.0,473.0,6,5.0,2.64,1.995,5,5.4,4.5,6.9,53.0,3,1.753,5.0,85.0,115.0,280.0,188.0,11.2,6,2007,143.0,4.0,3,7,40,2
42,8,5855,18,2,60.0,39000.0,56765.0,4680.0,1880.0,1550.0,542.0,4,5.0,2.9,2.425,5,0.0,0.0,0.0,0.0,4,,1.0,168.0,229.0,350.0,185.0,7.3,6,2023,,,5,17,41,2
43,4,40000,7,1,12.0,10999.0,16190.0,4062.0,1732.0,1448.0,300.0,2,5.0,2.589,1.563,5,4.7,4.1,5.7,45.0,1,,5.0,66.0,90.0,140.0,167.0,12.2,1,2019,114.0,3.0,3,19,42,2
44,11,7,19,1,36.0,,33116.0,4571.0,1792.0,1514.0,550.0,5,5.0,2.638,2.045,5,0.0,0.0,0.0,50.0,3,1.598,6.0,97.0,130.0,320.0,207.0,10.1,8,2024,,4.0,2,18,43,2
45,12,31649,20,1,12.0,23495.0,,,,,,8,,,1.3,5,6.3,4.7,6.7,,1,1.332,,,140.0,,,,11,2021,,,4,11,44,2
46,12,69955,20,1,12.0,18295.0,,,,,,3,,,1.217,5,6.0,,,,1,,,,114.0,,,,6,2022,,,4,11,45,1
