id_provincia,link_coche,fecha_extraccion,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,tipo_cambio,id_traccion,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gla-ocasion/gla-250e-1-ref14681383,25/11/2024,8006,STERN MOTOR,0 EMISIONES,36.0,43800.0,55550.0,4412.0,1834.0,1609.0,385.0,5,2729,2300,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,210,7.9,12,2023,,4,Turbo,MERCEDES-BENZ,CLASE GLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gla-ocasion/gla-250e-1-ref13890551,25/11/2024,9980,STERN MOTOR,0 EMISIONES,36.0,43800.0,55550.0,4412.0,1834.0,1609.0,385.0,5,2729,2300,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,210,7.9,12,2023,,4,Turbo,MERCEDES-BENZ,CLASE GLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-c-ocasion/c-200-9g-tronic-ref14352315,25/11/2024,76771,STERN MOTOR,ECO,24.0,33600.0,45925.0,4686.0,1810.0,1442.0,435.0,5,2840,2085,4,5.9,4.1,7.6,66.0,Gasolina,1497,Automático,trasera,9,135,184,280,239,7.7,8,2020,135.0,4,Turbo,MERCEDES-BENZ,CLASE C
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-a-ocasion/a-250e-sedan-8g-dct-1-ref14087052,25/11/2024,26295,STERN MOTOR,0 EMISIONES,36.0,39000.0,51704.0,4558.0,1796.0,1458.0,345.0,5,2729,2180,4,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,230,7.5,5,2023,,4,Turbo,MERCEDES-BENZ,CLASE A
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-cla-ocasion/cla-shooting-brake-220d-8g-dct-1-ref14681376,25/11/2024,24590,STERN MOTOR,C,36.0,44000.0,47215.0,4688.0,1830.0,1430.0,490.0,5,2729,2155,5,,,,51.0,Diesel,1950,Automático,delantera,8,140,190,400,237,7.4,9,2023,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE CLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-a-ocasion/a-180d-8g-dct-ref14681380,25/11/2024,17531,STERN MOTOR,C,36.0,35500.0,36940.0,4419.0,1796.0,1440.0,345.0,5,2729,1995,5,,,,43.0,Diesel,1950,Automático,delantera,8,85,116,280,202,9.5,7,2023,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE A
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-cla-ocasion/cla-220d-1-ref14390658,25/11/2024,93783,STERN MOTOR,C,24.0,34300.0,48417.0,4688.0,1830.0,1444.0,460.0,5,2729,2065,4,,,,51.0,Diesel,1950,Automático,delantera,8,140,190,400,244,7.1,10,2020,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE CLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-cla-ocasion/cla-200d-3-ref14374830,25/11/2024,5373,STERN MOTOR,C,36.0,44800.0,45564.0,4688.0,1830.0,1427.0,445.0,5,2729,2085,4,,,,43.0,Diesel,1950,Automático,delantera,8,110,150,320,226,8.5,3,2024,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE CLA
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-c-km0/c-220d-9g-tronic-1-ref14681377,25/11/2024,1803,STERN MOTOR,ECO,36.0,56700.0,54353.0,4751.0,1820.0,1437.0,,5,2865,2355,4,,,,66.0,Diesel,1992,Automático,trasera,9,147,200,440,245,7.3,4,2024,,4,Turbo,MERCEDES-BENZ,CLASE C
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-e-km0/e-cabrio-220d-9g-tronic-3-ref14678387,25/11/2024,15,STERN MOTOR,C,36.0,72500.0,80440.0,4835.0,1860.0,1428.0,310.0,4,2873,2380,2,,,,66.0,Diesel,1950,Automático,trasera,9,143,194,400,228,7.8,4,2024,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE E
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-b-ocasion/b-250e-ref14681379,25/11/2024,8870,STERN MOTOR,0 EMISIONES,36.0,45000.0,49529.0,4419.0,1796.0,1574.0,405.0,5,2729,2240,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,223,7.6,4,2024,,4,Turbo,MERCEDES-BENZ,CLASE B
