id_concesionario,nombre_concesionario
518,OCASIONPLUS TORREJON DE ARDOZ
519,OCASIONPLUS ERANDIO
520,OCASIONPLUS CALELLA
521,RENAULT GARAJE ZORROZA
522,GRUPO PALACIOS VALENCIA
523,OSCAR
524,"DELTA PRAT, Concesionario Oficial Kia"
525,TOYOTA JAPAN CAR
526,Fabianarenas.es
527,CARS OCASIÓN MADRID
528,AUTOS MORERA
529,AC AUTOMOCION
530,Tuning Autonewart SL
531,FLEXICAR MÁLAGA
532,RIL AUTO
533,MERCEDES MOBILITY CENTRO INDUSTRIALES
534,YAPPAN CARS
535,AUTOCENTRO IGARA
536,QUADIS ARmotors Barcelona
537,AUTOCAM
